#,Customer Name,Branch,Zone,September,October,November
895,,Dayniile,Gubta 1,5,3,4
896,,Dayniile,Gubta 1,22,25,21
897,,Dayniile,Gubta 1,3,2,2
898,,Dayniile,Gubta 1,3,1,1
899,,Dayniile,Gubta 1,1,1,1
900,,Dayniile,Gubta 1,3,3,4
901,,Dayniile,Gubta 1,3,2,1
902,,Dayniile,Gubta 1,2,3,2
903,,Dayniile,Gubta 1,2,5,6
904,,Dayniile,Gubta 1,6,11,10
905,,Dayniile,Gubta 1,6,1,3
906,,Dayniile,Gubta 1,6,6,6
907,,Dayniile,Gubta 1,4,3,4
908,,Dayniile,Gubta 1,2,3,3
909,,Dayniile,Gubta 1,3,2,3
910,,Dayniile,Gubta 1,3,5,4
911,,Dayniile,Gubta 1,6,8,4
912,,Dayniile,Gubta 1,1,3,3
913,,Dayniile,Gubta 1,2,3,2
914,,Dayniile,Gubta 1,1,1,1
915,,Dayniile,Gubta 1,3,4,3
916,,Dayniile,Gubta 1,6,5,6
917,,Dayniile,Gubta 1,9,9,7
918,,Dayniile,Gubta 1,8,7,8
919,,Dayniile,Gubta 1,2,2,4
920,,Dayniile,Gubta 1,7,12,14
921,,Dayniile,Gubta 1,22,19,18
922,,Dayniile,Gubta 1,12,11,12
923,,Dayniile,Gubta 1,10,8,9
924,,Dayniile,Gubta 1,5,3,5
925,,Dayniile,Gubta 1,5,6,6
926,,Dayniile,Gubta 1,10,8,9
927,,Dayniile,Gubta 1,3,3,5
928,,Dayniile,Gubta 1,4,4,6
929,,Dayniile,Gubta 1,6,6,5
930,,Dayniile,Gubta 1,4,7,5
931,,Dayniile,Gubta 1,9,6,6
932,,Dayniile,Gubta 1,7,6,5
933,,Dayniile,Gubta 1,3,5,5
934,,Dayniile,Gubta 1,5,5,2
935,,Dayniile,Gubta 1,3,4,4
936,,Dayniile,Gubta 1,3,2,3
937,,Dayniile,Gubta 1,1,1,2
938,,Dayniile,Gubta 1,1,1,1
939,,Dayniile,Gubta 1,4,4,4
940,,Dayniile,Gubta 1,7,5,3
941,,Dayniile,Gubta 1,6,6,6
942,,Dayniile,Gubta 1,5,4,3
943,,Dayniile,Gubta 1,7,6,6
944,,Dayniile,Gubta 1,10,11,12
945,,Dayniile,Gubta 1,14,14,15
946,,Dayniile,Gubta 1,13,14,13
947,,Dayniile,Gubta 1,4,7,8
948,,Dayniile,Gubta 1,2,6,4
949,,Dayniile,Gubta 1,5,4,5
950,,Dayniile,Gubta 1,3,3,3
951,,Dayniile,Gubta 1,5,4,4
952,,Dayniile,Gubta 1,3,4,4
953,,Dayniile,Gubta 1,5,5,7
954,,Dayniile,Gubta 1,13,13,11
955,,Dayniile,Gubta 1,5,5,5
956,,Dayniile,Gubta 1,4,5,4
957,,Dayniile,Gubta 1,10,10,9
958,,Dayniile,Gubta 1,11,11,14
959,,Dayniile,Gubta 1,4,6,6
960,,Dayniile,Gubta 1,9,10,11
961,,Dayniile,Gubta 1,4,3,3
962,,Dayniile,Gubta 1,8,9,6
963,,Dayniile,Gubta 1,19,20,23
964,,Dayniile,Gubta 1,2,4,4
965,,Dayniile,Gubta 1,1,1,1
966,,Dayniile,Gubta 1,8,13,17
967,,Dayniile,Gubta 1,15,20,18
968,,Dayniile,Gubta 1,4,5,6
969,,Dayniile,Gubta 1,2,10,7
970,,Dayniile,Gubta 1,17,27,19
971,,Dayniile,Gubta 1,6,7,6
972,,Dayniile,Gubta 1,8,7,8
973,,Dayniile,Gubta 1,10,8,7
974,,Dayniile,Gubta 1,9,10,9
975,,Dayniile,Gubta 1,11,11,11
976,,Dayniile,Gubta 1,4,6,6
977,,Dayniile,Gubta 1,26,24,27
978,,Dayniile,Gubta 1,9,7,7
979,,Dayniile,Gubta 1,9,10,11
980,,Dayniile,Gubta 1,5,6,6
981,,Dayniile,Gubta 1,7,5,4
982,,Dayniile,Gubta 1,6,10,12
983,,Dayniile,Gubta 1,8,8,9
984,,Dayniile,Gubta 1,4,5,5
985,,Dayniile,Gubta 1,3,4,3
986,,Dayniile,Gubta 1,11,9,8
987,,Dayniile,Gubta 1,14,15,17
988,,Dayniile,Gubta 1,16,13,14
989,,Dayniile,Gubta 1,10,7,8
990,,Dayniile,Gubta 1,3,3,4
991,,Dayniile,Gubta 1,10,2,9
992,,Dayniile,Gubta 1,2,0,0
993,,Dayniile,Gubta 1,6,7,6
994,,Dayniile,Gubta 1,32,33,34
995,,Dayniile,Gubta 1,14,16,17
996,,Dayniile,Gubta 1,3,5,5
997,,Dayniile,Gubta 1,11,10,11
998,,Dayniile,Gubta 1,4,5,3
999,,Dayniile,Gubta 1,13,11,7
1000,,Dayniile,Gubta 1,9,7,8
1001,,Dayniile,Gubta 1,11,14,9
1002,,Dayniile,Gubta 1,5,6,7
1003,,Dayniile,Gubta 1,4,3,4
1004,,Dayniile,Gubta 1,6,3,3
1005,,Dayniile,Gubta 1,4,3,3
1006,,Dayniile,Gubta 1,7,9,5
1007,,Dayniile,Gubta 1,5,6,7
1008,,Dayniile,Gubta 1,15,15,11
1009,,Dayniile,Gubta 1,22,22,27
1010,,Dayniile,Gubta 1,2,2,1
1011,,Dayniile,Gubta 1,7,5,6
1012,,Dayniile,Gubta 1,1,4,6
1013,,Dayniile,Gubta 1,16,18,18
1014,,Dayniile,Gubta 1,12,13,13
1015,,Dayniile,Gubta 1,15,15,18
1016,,Dayniile,Gubta 1,8,9,7
1017,,Dayniile,Gubta 1,1,3,4
1018,,Dayniile,Gubta 1,4,6,5
1019,,Dayniile,Gubta 1,2,2,2
1020,,Dayniile,Gubta 1,4,4,6
1021,,Dayniile,Gubta 1,5,5,5
1022,,Dayniile,Gubta 1,8,7,7
1023,,Dayniile,Gubta 1,2,1,1
1024,,Dayniile,Gubta 1,8,5,6
1025,,Dayniile,Gubta 1,3,7,2
1026,,Dayniile,Gubta 1,8,8,7
1027,,Dayniile,Gubta 1,9,5,7
1028,,Dayniile,Gubta 1,3,5,3
1029,,Dayniile,Gubta 1,4,3,1
1030,,Dayniile,Gubta 1,2,3,1
1031,,Dayniile,Gubta 1,3,5,3
1032,,Dayniile,Gubta 1,2,2,3
1033,,Dayniile,Gubta 1,15,18,17
1034,,Dayniile,Gubta 1,8,9,4
1035,,Dayniile,Gubta 1,3,2,3
1036,,Dayniile,Gubta 1,7,8,7
1037,,Dayniile,Gubta 1,3,4,4
1038,,Dayniile,Gubta 1,4,4,3
1039,,Dayniile,Gubta 1,16,43,25
1040,,Dayniile,Gubta 1,7,7,9
1041,,Dayniile,Gubta 1,15,12,13
1042,,Dayniile,Gubta 1,3,3,1
1043,,Dayniile,Gubta 1,17,16,16
1044,,Dayniile,Gubta 1,4,3,3
1045,,Dayniile,Gubta 1,4,4,3
1046,,Dayniile,Gubta 1,4,2,3
1047,,Dayniile,Gubta 1,8,12,14
1048,,Dayniile,Gubta 1,6,7,17
1049,,Dayniile,Gubta 1,3,5,5
1050,,Dayniile,Gubta 1,15,12,13
1051,,Dayniile,Gubta 1,5,9,4
1052,,Dayniile,Gubta 1,2,2,2
1053,,Dayniile,Gubta 1,4,5,4
1054,,Dayniile,Gubta 1,3,3,4
6368,,Dayniile,Gubta 1,8,8,9
6369,,Dayniile,Gubta 1,7,6,7
6370,,Dayniile,Gubta 1,9,2,7
6371,,Dayniile,Gubta 1,6,6,8
6372,,Dayniile,Gubta 1,6,6,6
6373,,Dayniile,Gubta 1,1,2,2
6374,,Dayniile,Gubta 1,4,3,3
6375,,Dayniile,Gubta 1,2,1,1
6376,,Dayniile,Gubta 1,17,13,18
6377,,Dayniile,Gubta 1,11,18,16
6378,,Dayniile,Gubta 1,2,2,2
6379,,Dayniile,Gubta 1,6,8,6
6380,,Dayniile,Gubta 1,10,11,11
6381,,Dayniile,Gubta 1,3,2,9
6382,,Dayniile,Gubta 1,5,3,3
6383,,Dayniile,Gubta 1,5,5,4
6384,,Dayniile,Gubta 1,9,9,9
6385,,Dayniile,Gubta 1,1,2,2
6386,,Dayniile,Gubta 1,8,9,7
6387,,Dayniile,Gubta 1,4,6,6
6388,,Dayniile,Gubta 1,6,6,8
6389,,Dayniile,Gubta 1,5,6,5
6390,,Dayniile,Gubta 1,8,7,6
6391,,Dayniile,Gubta 1,5,2,3
6392,,Dayniile,Gubta 1,5,7,7
6393,,Dayniile,Gubta 1,2,2,1
6394,,Dayniile,Gubta 1,10,9,7
6395,,Dayniile,Gubta 1,3,2,3
6396,,Dayniile,Gubta 1,11,15,17
6397,,Dayniile,Gubta 1,5,6,6
6398,,Dayniile,Gubta 1,14,10,11
6399,,Dayniile,Gubta 1,6,5,5
6400,,Dayniile,Gubta 1,9,7,4
6401,,Dayniile,Gubta 1,13,12,13
6402,,Dayniile,Gubta 1,2,2,3
6403,,Dayniile,Gubta 1,10,10,11
6404,,Dayniile,Gubta 1,10,11,12
6405,,Dayniile,Gubta 1,2,2,2
6406,,Dayniile,Gubta 1,7,9,7
6407,,Dayniile,Gubta 1,2,5,3
6945,,Dayniile,Gubta 1,7,7,6
6946,,Dayniile,Gubta 1,4,6,5
6947,,Dayniile,Gubta 1,6,7,10
6948,,Dayniile,Gubta 1,2,3,2
6949,,Dayniile,Gubta 1,5,5,6
6950,,Dayniile,Gubta 1,9,9,6
6951,,Dayniile,Gubta 1,1,1,1
6952,,Dayniile,Gubta 1,5,6,6
6953,,Dayniile,Gubta 1,8,12,10
6954,,Dayniile,Gubta 1,2,3,3
6955,,Dayniile,Gubta 1,4,4,4
6956,,Dayniile,Gubta 1,9,8,7
6957,,Dayniile,Gubta 1,2,2,1
6958,,Dayniile,Gubta 1,4,3,2
6959,,Dayniile,Gubta 1,10,8,9
6960,,Dayniile,Gubta 1,7,7,6
6961,,Dayniile,Gubta 1,6,6,7
6962,,Dayniile,Gubta 1,2,3,1
6963,,Dayniile,Gubta 1,2,1,1
6964,,Dayniile,Gubta 1,8,7,8
6965,,Dayniile,Gubta 1,6,7,12
6966,,Dayniile,Gubta 1,4,4,3
6967,,Dayniile,Gubta 1,13,12,16
6968,,Dayniile,Gubta 1,8,8,10
6969,,Dayniile,Gubta 1,6,6,8
6970,,Dayniile,Gubta 1,4,3,4
6971,,Dayniile,Gubta 1,10,18,9
6972,,Dayniile,Gubta 1,4,3,2
6973,,Dayniile,Gubta 1,3,4,5
6974,,Dayniile,Gubta 1,4,4,5
6975,,Dayniile,Gubta 1,16,15,14
6976,,Dayniile,Gubta 1,9,7,9
6977,,Dayniile,Gubta 1,3,3,5
6978,,Dayniile,Gubta 1,3,5,5
6979,,Dayniile,Gubta 1,12,11,11
6980,,Dayniile,Gubta 1,2,1,10
6981,,Dayniile,Gubta 1,2,1,2
6982,,Dayniile,Gubta 1,33,28,24
6983,,Dayniile,Gubta 1,6,5,6
6984,,Dayniile,Gubta 1,5,7,6
6985,,Dayniile,Gubta 1,2,1,2
6986,,Dayniile,Gubta 1,12,14,13
6987,,Dayniile,Gubta 1,8,9,9
6988,,Dayniile,Gubta 1,7,6,10
6989,,Dayniile,Gubta 1,8,7,9
6990,,Dayniile,Gubta 1,12,10,4
6991,,Dayniile,Gubta 1,5,4,5
6992,,Dayniile,Gubta 1,12,10,9
6993,,Dayniile,Gubta 1,5,5,6
6994,,Dayniile,Gubta 1,5,4,6
6995,,Dayniile,Gubta 1,9,8,8
6996,,Dayniile,Gubta 1,11,4,4
6997,,Dayniile,Gubta 1,12,12,12
6998,,Dayniile,Gubta 1,7,7,6
6999,,Dayniile,Gubta 1,6,6,7
7710,,Dayniile,Gubta 1,3,2,3
7711,,Dayniile,Gubta 1,4,5,6
7712,,Dayniile,Gubta 1,5,6,8
7713,,Dayniile,Gubta 1,4,4,4
7714,,Dayniile,Gubta 1,3,3,2
7715,,Dayniile,Gubta 1,5,4,5
7716,,Dayniile,Gubta 1,10,8,11
7717,,Dayniile,Gubta 1,15,12,13
7718,,Dayniile,Gubta 1,1,2,1
7719,,Dayniile,Gubta 1,5,7,5
7720,,Dayniile,Gubta 1,5,4,4
7721,,Dayniile,Gubta 1,2,5,3
7722,,Dayniile,Gubta 1,5,5,3
7723,,Dayniile,Gubta 1,18,19,19
7724,,Dayniile,Gubta 1,9,6,7
7725,,Dayniile,Gubta 1,4,2,4
7726,,Dayniile,Gubta 1,4,3,4
7727,,Dayniile,Gubta 1,4,4,4
7728,,Dayniile,Gubta 1,16,14,15
7729,,Dayniile,Gubta 1,14,12,10
7730,,Dayniile,Gubta 1,3,3,3
7731,,Dayniile,Gubta 1,6,6,8
7732,,Dayniile,Gubta 1,3,2,3
7733,,Dayniile,Gubta 1,4,4,6
7734,,Dayniile,Gubta 1,7,8,3
8071,,Dayniile,Gubta 1,7,6,6
8072,,Dayniile,Gubta 1,7,6,7
8073,,Dayniile,Gubta 1,11,11,11
8074,,Dayniile,Gubta 1,4,6,4
8075,,Dayniile,Gubta 1,2,4,0
8076,,Dayniile,Gubta 1,9,7,9
8077,,Dayniile,Gubta 1,10,7,7
8078,,Dayniile,Gubta 1,6,3,4
8079,,Dayniile,Gubta 1,11,11,9
8080,,Dayniile,Gubta 1,29,22,24
8081,,Dayniile,Gubta 1,6,7,7
8082,,Dayniile,Gubta 1,3,2,2
8083,,Dayniile,Gubta 1,2,1,2
8084,,Dayniile,Gubta 1,13,12,15
8085,,Dayniile,Gubta 1,5,5,6
8086,,Dayniile,Gubta 1,4,2,3
8087,,Dayniile,Gubta 1,2,2,3
8088,,Dayniile,Gubta 1,4,3,4
8089,,Dayniile,Gubta 1,11,10,13
8090,,Dayniile,Gubta 1,7,7,8
8091,,Dayniile,Gubta 1,15,19,17
8092,,Dayniile,Gubta 1,10,12,13
8093,,Dayniile,Gubta 1,9,10,8
8094,,Dayniile,Gubta 1,5,5,6
8095,,Dayniile,Gubta 1,14,14,15
8096,,Dayniile,Gubta 1,4,3,3
8097,,Dayniile,Gubta 1,8,9,6
8098,,Dayniile,Gubta 1,2,1,2
8575,,Dayniile,Gubta 1,2,2,1
8576,,Dayniile,Gubta 1,10,8,8
8577,,Dayniile,Gubta 1,6,6,7
8578,,Dayniile,Gubta 1,10,10,10
8579,,Dayniile,Gubta 1,2,3,4
8580,,Dayniile,Gubta 1,11,13,12
8581,,Dayniile,Gubta 1,5,4,6
8582,,Dayniile,Gubta 1,5,6,6
8704,,Dayniile,Gubta 1,3,3,4
8710,,Dayniile,Gubta 1,13,14,13
8711,,Dayniile,Gubta 1,1,1,1
8712,,Dayniile,Gubta 1,0,0,0
8713,,Dayniile,Gubta 1,5,4,5
8714,,Dayniile,Gubta 1,8,6,7
8715,,Dayniile,Gubta 1,4,4,4
8716,,Dayniile,Gubta 1,4,4,4
8717,,Dayniile,Gubta 1,9,19,81
8718,,Dayniile,Gubta 1,7,6,6
8719,,Dayniile,Gubta 1,1,1,1
8720,,Dayniile,Gubta 1,6,4,5
8721,,Dayniile,Gubta 1,6,6,3
8722,,Dayniile,Gubta 1,4,4,3
8723,,Dayniile,Gubta 1,10,9,9
8724,,Dayniile,Gubta 1,5,5,5
8725,,Dayniile,Gubta 1,12,7,5
8726,,Dayniile,Gubta 1,8,10,10
8727,,Dayniile,Gubta 1,12,8,11
8728,,Dayniile,Gubta 1,10,12,16
8729,,Dayniile,Gubta 1,12,11,11
8730,,Dayniile,Gubta 1,15,16,14
8731,,Dayniile,Gubta 1,5,5,3
8732,,Dayniile,Gubta 1,8,11,9
9031,,Dayniile,Gubta 1,4,4,4
9032,,Dayniile,Gubta 1,4,7,7
9033,,Dayniile,Gubta 1,9,7,8
9034,,Dayniile,Gubta 1,6,3,2
9035,,Dayniile,Gubta 1,4,6,0
9036,,Dayniile,Gubta 1,3,4,0
9037,,Dayniile,Gubta 1,18,20,13
9038,,Dayniile,Gubta 1,4,2,4
9039,,Dayniile,Gubta 1,9,10,10
9040,,Dayniile,Gubta 1,6,6,6
9174,,Dayniile,Gubta 1,0,0,0
9175,,Dayniile,Gubta 1,9,9,9
9176,,Dayniile,Gubta 1,3,5,4
9177,,Dayniile,Gubta 1,2,3,3
9178,,Dayniile,Gubta 1,8,5,7
9179,,Dayniile,Gubta 1,7,9,12
9180,,Dayniile,Gubta 1,3,3,3
9181,,Dayniile,Gubta 1,9,8,7
9182,,Dayniile,Gubta 1,12,12,14
9183,,Dayniile,Gubta 1,3,3,4
9184,,Dayniile,Gubta 1,4,5,6
9185,,Dayniile,Gubta 1,2,3,3
9186,,Dayniile,Gubta 1,2,5,2
9187,,Dayniile,Gubta 1,3,4,2
9188,,Dayniile,Gubta 1,6,6,6
9189,,Dayniile,Gubta 1,6,5,6
9190,,Dayniile,Gubta 1,9,11,11
9191,,Dayniile,Gubta 1,6,6,6
9192,,Dayniile,Gubta 1,1,1,1
9193,,Dayniile,Gubta 1,8,10,9
9194,,Dayniile,Gubta 1,7,7,7
9195,,Dayniile,Gubta 1,5,9,5
9196,,Dayniile,Gubta 1,0,9,6
9197,,Dayniile,Gubta 1,8,6,7
9198,,Dayniile,Gubta 1,2,2,3
9199,,Dayniile,Gubta 1,4,6,5
9200,,Dayniile,Gubta 1,19,3,4
9201,,Dayniile,Gubta 1,4,3,5
9202,,Dayniile,Gubta 1,4,4,4
9203,,Dayniile,Gubta 1,14,11,14
9204,,Dayniile,Gubta 1,8,7,8
9205,,Dayniile,Gubta 1,13,15,13
9206,,Dayniile,Gubta 1,8,9,9
9500,,Dayniile,Gubta 1,9,7,8
9501,,Dayniile,Gubta 1,8,6,6
9502,,Dayniile,Gubta 1,10,10,9
9503,,Dayniile,Gubta 1,3,4,3
9504,,Dayniile,Gubta 1,11,12,12
9505,,Dayniile,Gubta 1,5,3,5
9506,,Dayniile,Gubta 1,5,4,4
9507,,Dayniile,Gubta 1,8,7,7
9577,,Dayniile,Gubta 1,12,10,11
9578,,Dayniile,Gubta 1,13,7,10
9579,,Dayniile,Gubta 1,10,11,11
9580,,Dayniile,Gubta 1,5,5,6
9581,,Dayniile,Gubta 1,9,9,8
9582,,Dayniile,Gubta 1,11,10,8
9662,,Dayniile,Gubta 1,4,5,4
9663,,Dayniile,Gubta 1,4,3,4
9693,,Dayniile,Gubta 1,14,12,13
9694,,Dayniile,Gubta 1,6,7,7
9695,,Dayniile,Gubta 1,10,10,8
9696,,Dayniile,Gubta 1,3,6,4
9697,,Dayniile,Gubta 1,4,6,5
9698,,Dayniile,Gubta 1,7,6,6
9756,,Dayniile,Gubta 1,5,6,5
9757,,Dayniile,Gubta 1,3,3,3
9758,,Dayniile,Gubta 1,6,10,14
9789,,Dayniile,Gubta 1,5,4,5
9794,,Dayniile,Gubta 1,3,1,1
9795,,Dayniile,Gubta 1,7,6,6
9796,,Dayniile,Gubta 1,10,10,7
9797,,Dayniile,Gubta 1,12,7,3
9798,,Dayniile,Gubta 1,6,6,6
9845,,Dayniile,Gubta 1,4,4,4
9877,,Dayniile,Gubta 1,8,6,7
9878,,Dayniile,Gubta 1,4,4,6
9879,,Dayniile,Gubta 1,3,3,5
9880,,Dayniile,Gubta 1,5,4,3
9974,,Dayniile,Gubta 1,5,5,3
9975,,Dayniile,Gubta 1,8,9,10
10003,,Dayniile,Gubta 1,6,8,7
10004,,Dayniile,Gubta 1,5,7,6
10005,,Dayniile,Gubta 1,6,6,7
10006,,Dayniile,Gubta 1,7,6,7
10049,,Dayniile,Gubta 1,15,8,11
10050,,Dayniile,Gubta 1,6,6,6
10051,,Dayniile,Gubta 1,3,3,4
10070,,Dayniile,Gubta 1,14,16,6
10106,,Dayniile,Gubta 1,16,13,14
10122,,Dayniile,Gubta 1,4,4,5
10123,,Dayniile,Gubta 1,14,16,18
10154,,Dayniile,Gubta 1,1,2,2
10164,,Dayniile,Gubta 1,15,15,14
10165,,Dayniile,Gubta 1,26,24,21
10166,,Dayniile,Gubta 1,15,11,15
10197,,Dayniile,Gubta 1,10,7,13
10198,,Dayniile,Gubta 1,1,0,0
10204,,Dayniile,Gubta 1,5,7,2
10205,,Dayniile,Gubta 1,7,7,7
10223,,Dayniile,Gubta 1,7,6,7
10233,,Dayniile,Gubta 1,4,4,4
10234,,Dayniile,Gubta 1,8,10,11
10235,,Dayniile,Gubta 1,4,11,8
10236,,Dayniile,Gubta 1,4,4,5
10273,,Dayniile,Gubta 1,11,9,12
10313,,Dayniile,Gubta 1,2,3,2
10314,,Dayniile,Gubta 1,7,5,6
10420,,Dayniile,Gubta 1,5,4,4
10449,,Dayniile,Gubta 1,8,7,8
10475,,Dayniile,Gubta 1,3,4,4
10542,,Dayniile,Gubta 1,6,6,7
10555,,Dayniile,Gubta 1,14,7,15
10567,,Dayniile,Gubta 1,1,1,0
10568,,Dayniile,Gubta 1,3,3,4
10569,,Dayniile,Gubta 1,4,4,4
10570,,Dayniile,Gubta 1,3,1,5
10571,,Dayniile,Gubta 1,3,7,6
10658,,Dayniile,Gubta 1,3,4,6
10684,,Dayniile,Gubta 1,20,23,18
10685,,Dayniile,Gubta 1,20,19,18
